fn_index,bigT,phi_pi,policy,regime,mult_h20
legacy,300,0,transfers,taylor,0.999990
legacy,300,0,transfers,fixed_real,1.237312
legacy,300,0,transfers,fixed_nominal,0.355786
legacy,300,0,UI_extensions,taylor,1.228183
legacy,300,0,UI_extensions,fixed_real,1.439227
legacy,300,0,UI_extensions,fixed_nominal,0.654653
legacy,300,0,tax_cut,taylor,1.100274
legacy,300,0,tax_cut,fixed_real,1.403616
legacy,300,0,tax_cut,fixed_nominal,0.288644
fixed,300,0,transfers,taylor,1.026297
fixed,300,0,transfers,fixed_real,1.228630
fixed,300,0,transfers,fixed_nominal,0.351589
fixed,300,0,UI_extensions,taylor,1.031144
fixed,300,0,UI_extensions,fixed_real,1.194977
fixed,300,0,UI_extensions,fixed_nominal,0.479993
fixed,300,0,tax_cut,taylor,1.082661
fixed,300,0,tax_cut,fixed_real,1.358480
fixed,300,0,tax_cut,fixed_nominal,0.259005
